"fecha","muertes_covid19","movilidad","muertes_diarias"
2020-01-22,0,101.285,0
2020-01-23,0,100.99,0
2020-01-24,0,109.11,0
2020-01-25,0,108.53,0
2020-01-26,0,82.475,0
2020-01-27,0,93.82,0
2020-01-28,0,92.49,0
2020-01-29,0,92.275,0
2020-01-30,0,96.37,0
2020-01-31,0,105.115,0
2020-02-01,0,110.69,0
2020-02-02,0,78.11,0
2020-02-03,0,93.42,0
2020-02-04,0,92.715,0
2020-02-05,0,97.44,0
2020-02-06,0,97.54,0
2020-02-07,0,108.06,0
2020-02-08,0,113.99,0
2020-02-09,0,81.175,0
2020-02-10,0,100.31,0
2020-02-11,0,101.42,0
2020-02-12,0,106.575,0
2020-02-13,0,109.05,0
2020-02-14,0,125.83,0
2020-02-15,0,115.545,0
2020-02-16,0,78.66,0
2020-02-17,0,92.85,0
2020-02-18,0,104.82,0
2020-02-19,0,102.99,0
2020-02-20,0,108.035,0
2020-02-21,0,128.35,0
2020-02-22,0,131.1,0
2020-02-23,0,104.355,0
2020-02-24,0,102.26,0
2020-02-25,0,91.05,0
2020-02-26,0,102.085,0
2020-02-27,0,104.29,0
2020-02-28,0,120.475,0
2020-02-29,0,113.105,0
2020-03-01,0,74.815,0
2020-03-02,0,93.885,0
2020-03-03,0,96.645,0
2020-03-04,0,100.485,0
2020-03-05,0,105.685,0
2020-03-06,0,122.51,0
2020-03-07,0,117.795,0
2020-03-08,1,75.65,1
2020-03-09,1,99.33,0
2020-03-10,1,99.455,0
2020-03-11,1,82.895,0
2020-03-12,1,96.76,0
2020-03-13,2,101.53,1
2020-03-14,2,77.54,0
2020-03-15,2,45.67,0
2020-03-16,2,52.56,0
2020-03-17,2,40.505,0
2020-03-18,2,37.585,0
2020-03-19,3,36.935,1
2020-03-20,3,14.26,0
2020-03-21,4,10.825,1
2020-03-22,4,7.85,0
2020-03-23,4,9.22,0
2020-03-24,6,9.405,2
2020-03-25,8,12.89,2
2020-03-26,9,12.555,1
2020-03-27,13,13.375,4
2020-03-28,18,12.035,5
2020-03-29,19,8.845,1
2020-03-30,23,12.98,4
2020-03-31,27,11.22,4
2020-04-01,28,13.785,1
2020-04-02,36,13.855,8
2020-04-03,39,14.795,3
2020-04-04,43,13.05,4
2020-04-05,44,10.325,1
2020-04-06,48,14.545,4
2020-04-07,56,16.02,8
2020-04-08,63,17.73,7
2020-04-09,72,17.225,9
2020-04-10,82,15.19,10
2020-04-11,83,17.575,1
2020-04-12,90,11.67,7
2020-04-13,97,18.725,7
2020-04-14,102,19.475,5
2020-04-15,111,20.485,9
2020-04-16,115,21.29,4
2020-04-17,123,22.985,8
2020-04-18,129,20.11,6
2020-04-19,132,12.565,3
2020-04-20,136,22.555,4
2020-04-21,147,23.13,11
2020-04-22,152,23.04,5
2020-04-23,165,24.56,13
2020-04-24,176,26.655,11
2020-04-25,185,24.615,9
2020-04-26,192,16.465,7
2020-04-27,197,22.965,5
2020-04-28,207,22.305,10
